rainfall,soil_moisture,slope,elevation,historical_landslides,risk
18,28,9,420,0,0
25,31,11,500,1,0
32,35,13,580,1,0
40,38,15,650,1,0
48,42,17,720,2,0
55,45,19,780,2,0
62,48,20,830,2,1
70,51,22,880,3,1
78,54,23,920,3,1
85,57,24,970,4,1
92,60,25,1020,4,1
100,63,26,1080,5,1
108,65,27,1120,5,1
115,67,28,1160,6,1
122,69,29,1200,6,2
130,71,30,1240,7,2
138,73,31,1280,7,2
145,75,32,1320,8,2
152,77,33,1360,8,2
160,79,34,1400,9,2
168,81,35,1440,10,2
175,83,36,1480,10,2
182,84,37,1520,11,2
190,86,38,1560,12,3
198,87,39,1600,12,3
205,88,40,1640,13,3
212,89,41,1680,14,3
220,90,42,1720,15,3
228,92,43,1760,16,3
235,94,44,1800,18,3
245,95,45,1850,20,3
